recordid				Tax_id				g_id				gname				name1				Nucleotide sequence				Protein sequence				Protein Structures				Temperature class				Growth Temperature				Optimal Growth Temperature
84				266				265				Paracoccus				Paracoccus denitrificans				93				596				43				mesophilic				30¢XC				5C~37¢XC
85				271				270				Thermus				Thermus aquaticus				176				428				61				thermophilic				70C~72¢XC				
86				272				270				Thermus				Thermus caldophilus				14				25				0				hyperthermophilic								
87				274				270				Thermus				Thermus thermophilus				1556				1752				281				thermophilic				75¢XC				
88				275				270				Thermus				Thermus sp.				37				28				4												
89				276				270				Thermus				Thermus filiformis				12				23				2				thermophilic				50¢XC				30C~60¢XC
90				280				279				Xanthobacter				Xanthobacter autotrophicus				18				68				19				mesophilic								28C~32¢XC
91				281				279				Xanthobacter				Xanthobacter flavus				16				40				0				mesophilic								28C~32¢XC
92				285				283				Comamonas				Comamonas testosteroni				113				239				10				mesophilic				30¢XC				
93				287				286				Pseudomonas				Pseudomonas aeruginosa				33812				10360				172				mesophilic				37¢XC				41¢XC
94				292				32008				Burkholderia				Burkholderia cepacia				408				590				23				mesophilic				30C~35¢XC				<=41¢XC
95				293				41275				Brevundimonas				Brevundimonas diminuta				24				45				13				mesophilic								26¢XC
96				294				286				Pseudomonas				Pseudomonas fluorescens				649				1209				32				mesophilic				25C~30¢XC				>=4¢XC
97				296				286				Pseudomonas				Pseudomonas fragi				31				28				0				psychrophilic								7C~26¢XC
98				297				70774				Hydrogenophilus				Hydrogenophilus thermoluteolus				10				22				0												
99				298				286				Pseudomonas				Pseudomonas marginalis				50				46				0				mesophilic								26¢XC
100				300				286				Pseudomonas				Pseudomonas mendocina				65				67				2				mesophilic				35¢XC				
101				301				286				Pseudomonas				Pseudomonas oleovorans				22				50				1				mesophilic								26¢XC
102				303				286				Pseudomonas				Pseudomonas putida				1071				3046				140				mesophilic				25C~30¢XC				4C~30¢XC
103				305				48736				Ralstonia				Ralstonia solanacearum				306				5878				1				mesophilic								30¢XC
104				306				45359				unclassified pseudomonads				Pseudomonas sp.				444				531				37												
105				307				45359				unclassified pseudomonads				Pseudomonas sp. KKS102				3				16				6												
106				316				286				Pseudomonas				Pseudomonas stutzeri				315				588				15				mesophilic				35¢XC				35C~41¢XC
107				317				286				Pseudomonas				Pseudomonas syringae				333				458				7				mesophilic				25C~30¢XC				>=4¢XC
108				329				48736				Ralstonia				Ralstonia pickettii				66				61				1				mesophilic								30¢XC
109				330				286				Pseudomonas				Pseudomonas pseudoalcaligenes				52				69				0				mesophilic				35¢XC				35C~41¢XC
110				333				286				Pseudomonas				Pseudomonas chlororaphis				105				140				0				mesophilic				30¢XC				4C~30¢XC
111				337				32008				Burkholderia				Burkholderia glumae				34				45				2				mesophilic								27¢XC
112				339				338				Xanthomonas				Xanthomonas campestris				116				214				0				mesophilic				35C~39¢XC				
113				346				338				Xanthomonas				Xanthomonas citri				17				102				2				mesophilic								30¢XC
114				347				338				Xanthomonas				Xanthomonas oryzae				20				20				1												
115				350				349				Zoogloea				Zoogloea ramigera				26				55				11				mesophilic								26¢XC
116				353				352				Azotobacter				Azotobacter chroococcum				20				99				0				mesophilic								18C~32¢XC
117				354				352				Azotobacter				Azotobacter vinelandii				359				5401				76				mesophilic				37¢XC				14C~37¢XC
118				358				379				Rhizobium				Agrobacterium tumefaciens				543				11819				8				mesophilic				25C~28¢XC				28¢XC
119				359				379				Rhizobium				Rhizobium rhizogenes				94				568				0				mesophilic								26¢XC
120				361				357				Agrobacterium				Agrobacterium sp.				12				15				1				mesophilic				25C~28¢XC				20C~28¢XC
121				370				379				Rhizobium				Agrobacterium tumefaciens (strain apple 185)				0				1				0				mesophilic				25C~28¢XC				20C~28¢XC
122				371				379				Rhizobium				Agrobacterium tumefaciens (strain B2A)				0				1				0				mesophilic				25C~28¢XC				20C~28¢XC
123				372				379				Rhizobium				Agrobacterium tumefaciens (strain II CHRYS)				0				2				0				mesophilic				25C~28¢XC				20C~28¢XC
124				373				379				Rhizobium				Rhizobium vitis				62				128				0												
125				375				374				Bradyrhizobium				Bradyrhizobium japonicum				2422				1511				22				mesophilic								26¢XC
126				376				374				Bradyrhizobium				Bradyrhizobium sp.				63				28				0												
127				380				28105				Sinorhizobium				Sinorhizobium fredii				75				166				0												
128				381				68287				Mesorhizobium				Mesorhizobium loti				72				8212				1				mesophilic								26¢XC
129				382				28105				Sinorhizobium				Sinorhizobium meliloti				452				9677				10				mesophilic								26¢XC
130				384				379				Rhizobium				Rhizobium leguminosarum				327				558				1												
131				391				379				Rhizobium				Rhizobium sp.				74				199				0												
132				394				379				Rhizobium				Rhizobium sp. NGR234				2332				1815				0												
133				398				379				Rhizobium				Rhizobium tropici				109				100				0				mesophilic								30¢XC
134				399				379				Rhizobium				Rhizobium galegae				40				32				0				mesophilic								26¢XC
135				405				404				Methylobacillus				Methylobacillus flagellatus				16				80				0				mesophilic								37¢XC
136				406				404				Methylobacillus				Methylobacillus glycogenes				9				13				0				mesophilic								30¢XC
137				408				407				Methylobacterium				Methylobacterium extorquens				81				273				6												
138				409				407				Methylobacterium				Methylobacterium sp.				18				11				0												
139				414				413				Methylococcus				Methylococcus capsulatus				32				174				17				mesophilic				37¢XC				
140				418				416				Methylomonas				Methylomonas sp.				99				8				0												
141				426				425				Methylosinus				Methylosinus trichosporium				62				79				3				mesophilic								30¢XC
142				428				425				Methylosinus				Methylosinus sporium				48				38				0				mesophilic								30¢XC
143				435				434				Acetobacter				Acetobacter aceti				41				48				0				mesophilic				25C~30¢XC				
144				438				434				Acetobacter				Acetobacter pasteurianus				48				59				1				mesophilic								26¢XC
145				439				434				Acetobacter				Acetobacter polyoxogenes				4				11				0												
146				440				434				Acetobacter				Acetobacter sp.				14				7				0												
147				442				441				Gluconobacter				Gluconobacter oxydans				143				71				0				mesophilic								26¢XC
148				446				445				Legionella				Legionella pneumophila				1174				1350				1				mesophilic								37¢XC
149				447				461				Fluoribacter				Fluoribacter bozemanae				18				6				0												
150				450				445				Legionella				Legionella longbeachae				25				29				0				mesophilic								37¢XC
151				451				465				Tatlockia				Tatlockia micdadei				33				19				0				mesophilic								37¢XC
152				453				445				Legionella				Legionella feeleii				19				7				0												
153				459				445				Legionella				Legionella sp.				19				0				0												
154				463				461				Fluoribacter				Fluoribacter dumoffii				21				5				0												
155				464				461				Fluoribacter				Fluoribacter gormanii				15				14				3												
156				466				465				Tatlockia				Tatlockia maceachernii				21				5				0												
157				470				469				Acinetobacter				Acinetobacter baumannii				168				207				0												
158				471				469				Acinetobacter				Acinetobacter calcoaceticus				104				365				6												
159				472				469				Acinetobacter				Acinetobacter sp.				102				100				1												
160				476				46225				Moraxella				Moraxella bovis				26				49				1												
161				477				46225				Moraxella				Moraxella lacunata				26				12				0				mesophilic								37¢XC
162				478				46225				Moraxella				Moraxella nonliquefaciens				23				7				0												
163				479				46227				unclassified Moraxella				Moraxella sp.				13				22				0												
164				480				46226				Branhamella				Moraxella catarrhalis				402				188				0												
165				483				482				Neisseria				Neisseria cinerea				40				45				0				mesophilic								37¢XC
166				484				482				Neisseria				Neisseria flavescens				19				25				0				mesophilic				35C~37¢XC				
167				485				482				Neisseria				Neisseria gonorrhoeae				1002				1339				13				mesophilic								35C~36¢XC
168				486				482				Neisseria				Neisseria lactamica				114				135				0				mesophilic								35¢XC
169				487				482				Neisseria				Neisseria meningitidis				4490				7468				18				mesophilic				36C~37¢XC				
170				488				482				Neisseria				Neisseria mucosa				27				20				0				mesophilic				35C~37¢XC				
171				489				482				Neisseria				Neisseria polysaccharea				50				61				9				mesophilic								37¢XC
172				490				482				Neisseria				Neisseria sicca				19				18				0				mesophilic				35C~37¢XC				
173				492				482				Neisseria				Neisseria animalis				11				9				0												
174				495				482				Neisseria				Neisseria elongata				25				19				0				mesophilic								35¢XC
175				510				48736				Ralstonia				Ralstonia eutropha				193				1565				6												
176				511				507				Alcaligenes				Alcaligenes faecalis				80				224				41				mesophilic								20C~37¢XC
177				512				507				Alcaligenes				Alcaligenes sp.				52				63				2												
178				516				507				Alcaligenes				Alcaligenes hydrogenophilus				2				10				0				mesophilic				30¢XC				
179				518				517				Bordetella				Bordetella bronchiseptica				214				482				0												
180				519				517				Bordetella				Bordetella parapertussis				65				4447				0				mesophilic								37¢XC
181				520				517				Bordetella				Bordetella pertussis				305				621				5				mesophilic								37¢XC
182				521				517				Bordetella				Bordetella avium				19				43				0				mesophilic								37¢XC
183				524				522				Acidiphilium				Acidiphilium cryptum				11				3				0												
184				526				522				Acidiphilium				Acidiphilium rubrum				8				22				0				mesophilic								20¢XC
185				529				528				Ochrobactrum				Ochrobactrum anthropi				204				44				2				mesophilic								20C~37¢XC
186				536				535				Chromobacterium				Chromobacterium violaceum				17				243				3				mesophilic				30C~35¢XC				
187				539				538				Eikenella				Eikenella corrodens				20				44				0				mesophilic				35C~37¢XC				
188				542				541				Zymomonas				Zymomonas mobilis				109				818				30				mesophilic				25C~30¢XC				
189				545				544				Citrobacter				Citrobacter koseri				34				42				0				mesophilic								37¢XC
190				546				544				Citrobacter				Citrobacter freundii				177				537				8												
191				548				547				Enterobacter				Enterobacter aerogenes				125				391				0												
192				549				53335				Pantoea				Pantoea agglomerans				239				319				1												
193				550				547				Enterobacter				Enterobacter cloacae				628				753				30												
194				552				551				Erwinia				Erwinia amylovora				235				532				1												
195				553				53335				Pantoea				Pantoea ananatis				41				41				0				mesophilic								26¢XC
196				554				122277				Pectobacterium				Pectobacterium carotovorum				105				247				6												
197				556				122277				Pectobacterium				Erwinia chrysanthemi				168				607				41				mesophilic								26¢XC
198				562				561				Escherichia				Escherichia coli				26682				45074				2576				mesophilic				37¢XC				
199				563				561				Escherichia				Escherichia blattae				14				23				3				mesophilic				37¢XC				
200				564				561				Escherichia				Escherichia fergusonii				41				80				0				mesophilic								37¢XC
201				565				561				Escherichia				Escherichia hermannii				24				18				0				mesophilic								37¢XC
202				566				561				Escherichia				Escherichia vulneris				18				17				0				mesophilic								37¢XC
203				569				568				Hafnia				Hafnia alvei				66				71				0				mesophilic								37¢XC
204				571				570				Klebsiella				Klebsiella oxytoca				223				396				7				psychrophilic								10¢XC
205				573				570				Klebsiella				Klebsiella pneumoniae				905				2320				26												
206				575				160674				Raoultella				Raoultella planticola				45				33				0				psychrophilic								10¢XC
207				576				570				Klebsiella				Klebsiella sp.				18				20				0												
208				577				160674				Raoultella				Raoultella terrigena				26				38				0				mesophilic								37¢XC
209				580				579				Kluyvera				Kluyvera cryocrescens				16				15				0				mesophilic								37¢XC
210				582				581				Morganella				Morganella morganii				51				64				0												
211				584				583				Proteus				Proteus mirabilis				162				342				10												
212				585				583				Proteus				Proteus vulgaris				96				799				13				mesophilic								37¢XC
213				587				586				Providencia				Providencia rettgeri				22				117				1												
214				588				586				Providencia				Providencia stuartii				42				52				0												
215				591				590				Salmonella				Salmonella choleraesuis				32				99				0												
216				592				590				Salmonella				Salmonella enteritidis				120				204				0												
217				599				590				Salmonella				Salmonella sp.				100				64				0												
218				601				590				Salmonella				Salmonella typhi				124				1670				4												
219				602				590				Salmonella				Salmonella typhimurium				1933				3841				172												
220				614				613				Serratia				Serratia liquefaciens				23				34				0				mesophilic								37¢XC
221				615				613				Serratia				Serratia marcescens				342				1312				42				mesophilic								37C~40¢XC
222				616				613				Serratia				Serratia sp.				15				9				1												
223				621				620				Shigella				Shigella boydii				215				282				0				mesophilic								37¢XC
224				622				620				Shigella				Shigella dysenteriae				165				311				1												
225				623				620				Shigella				Shigella flexneri				321				2537				5				mesophilic								37¢XC
226				624				620				Shigella				Shigella sonnei				188				342				0				mesophilic								37¢XC
227				628				626				Xenorhabdus				Xenorhabdus nematophila				59				132				0				mesophilic								26¢XC
228				630				629				Yersinia				Yersinia enterocolitica				279				1184				8				mesophilic								37¢XC
229				631				629				Yersinia				Yersinia intermedia				47				57				0				mesophilic				37¢XC				
230				632				629				Yersinia				Yersinia pestis				282				5511				10				mesophilic				37¢XC				
231				633				629				Yersinia				Yersinia pseudotuberculosis				174				454				8				mesophilic				37¢XC				
232				636				635				Edwardsiella				Edwardsiella tarda				53				71				0				mesophilic				36¢XC				
233				644				642				Aeromonas				Aeromonas hydrophila				377				645				1				mesophilic				28¢XC				
234				645				642				Aeromonas				Aeromonas salmonicida				102				175				0												
235				646				642				Aeromonas				Aeromonas sobria				37				48				0				mesophilic				28¢XC				
236				647				642				Aeromonas				Aeromonas sp.				23				15				0												
237				648				642				Aeromonas				Aeromonas punctata				105				83				1												
238				650				642				Aeromonas				Aeromonas jandaei				15				14				0				mesophilic								37¢XC
239				651				642				Aeromonas				Aeromonas media				26				5				0												
240				654				642				Aeromonas				Aeromonas veronii				50				25				0				mesophilic								37¢XC
241				658				657				Photobacterium				Photobacterium leiognathi				59				110				10				mesophilic								20C~35¢XC
242				659				657				Photobacterium				Photobacterium phosphoreum				70				96				1				mesophilic				20¢XC				
243				660				657				Photobacterium				Photobacterium sp.				1				9				0												
244				663				662				Vibrio				Vibrio alginolyticus				72				174				0												
245				666				662				Vibrio				Vibrio cholerae				965				6421				35				mesophilic				37¢XC				30C~40¢XC
246				668				662				Vibrio				Vibrio fischeri				130				234				1				mesophilic				30¢XC				
247				669				662				Vibrio				Vibrio harveyi				124				223				10				mesophilic								20C~35¢XC
248				670				662				Vibrio				Vibrio parahaemolyticus				349				5891				1				mesophilic								20C~43¢XC
249				671				662				Vibrio				Vibrio proteolyticus				31				39				6				mesophilic								20C~40¢XC
250				672				662				Vibrio				Vibrio vulnificus				246				822				2				mesophilic								30C~40¢XC
251				673				662				Vibrio				Vibrio hollisae				18				14				1				mesophilic								30¢XC
252				674				662				Vibrio				Vibrio mimicus				51				57				0				mesophilic								37¢XC
253				676				662				Vibrio				Vibrio fluvialis				32				11				0				mesophilic				40¢XC				
254				678				662				Vibrio				Vibrio sp.				52				21				0												
255				680				662				Vibrio				Vibrio campbellii				19				5				0				mesophilic								20C~35¢XC
256				685				662				Vibrio				Vibrio diazotrophicus				18				9				0												
257				686				662				Vibrio				Vibrio cholerae O1 biovar eltor				2				10				0				mesophilic				37¢XC				
258				691				662				Vibrio				Vibrio natriegens				19				11				0				mesophilic								20C~40¢XC
259				703				702				Plesiomonas				Plesiomonas shigelloides				24				55				0				mesophilic								37¢XC
260				714				713				Actinobacillus				Actinobacillus actinomycetemcomitans				292				550				0				mesophilic				37¢XC				37¢XC
261				715				713				Actinobacillus				Actinobacillus pleuropneumoniae				280				432				2												
262				720				713				Actinobacillus				Actinobacillus lignieresii				43				20				0				mesophilic				37¢XC				
263				726				724				Haemophilus				Haemophilus haemolyticus				37				34				13												
264				727				724				Haemophilus				Haemophilus influenzae				1971				5621				92				mesophilic				35C~37¢XC				
265				728				724				Haemophilus				Haemophilus paragallinarum				30				55				0												
266				729				724				Haemophilus				Haemophilus parainfluenzae				71				59				0												
267				730				724				Haemophilus				Haemophilus ducreyi				77				412				0												
268				731				724				Haemophilus				Haemophilus somnus				55				85				0												
269				732				724				Haemophilus				Haemophilus aphrophilus				22				12				0												
270				735				724				Haemophilus				Haemophilus parahaemolyticus				12				17				0												
271				738				724				Haemophilus				Haemophilus parasuis				54				18				0												
272				739				724				Haemophilus				Haemophilus segnis				30				16				0												
273				747				745				Pasteurella				Pasteurella multocida				573				2998				0				mesophilic				37¢XC				
274				749				745				Pasteurella				Pasteurella aerogenes				21				11				0				mesophilic				37¢XC				
275				769				768				Anaplasma				Anaplasma centrale				24				29				0												
276				770				768				Anaplasma				Anaplasma marginale				322				376				0												
277				774				773				Bartonella				Bartonella bacilliformis				62				88				0												
278				777				776				Coxiella				Coxiella burnetii				221				796				0												
279				779				106178				canis group				Ehrlichia ruminantium				174				205				0												
280				781				780				Rickettsia				Rickettsia conorii				83				1761				0				mesophilic				35¢XC				
281				782				780				Rickettsia				Rickettsia prowazekii				554				2338				0				mesophilic				35¢XC				
282				783				780				Rickettsia				Rickettsia rickettsii				70				1374				0				mesophilic				32C~35¢XC				
283				784				69474				Orientia				Orientia tsutsugamushi				123				108				0												
284				785				780				Rickettsia				Rickettsia typhi				63				123				0				mesophilic				35¢XC				
285				787				780				Rickettsia				Rickettsia australis				13				13				0				mesophilic				32C~34¢XC				
286				789				114295				unclassified Rickettsia				Rickettsia sp.				24				11				0												
287				803				773				Bartonella				Bartonella quintana				62				48				0												
288				813				810				Chlamydia				Chlamydia trachomatis				1829				2473				1												
289				817				816				Bacteroides				Bacteroides fragilis				324				588				10				mesophilic								25C~45¢XC
290				818				816				Bacteroides				Bacteroides thetaiotaomicron				42				348				0												
291				820				816				Bacteroides				Bacteroides uniformis				23				29				0				mesophilic				35C~37¢XC				
292				821				816				Bacteroides				Bacteroides vulgatus				15				21				0												
293				831				830				Butyrivibrio				Butyrivibrio fibrisolvens				118				129				0				mesophilic								30C~45¢XC
294				833				832				Fibrobacter				Fibrobacter succinogenes				36				38				1				mesophilic								37¢XC
295				837				836				Porphyromonas				Porphyromonas gingivalis				420				601				2												
296				839				838				Prevotella				Prevotella ruminicola				31				37				0				mesophilic								37¢XC
297				844				843				Wolinella				Wolinella succinogenes				127				2338				8				mesophilic								35¢XC
298				847				846				Oxalobacter				Oxalobacter formigenes				13				13				2												
299				851				848				Fusobacterium				Fusobacterium nucleatum				20				59				0												
300				870				869				Dichelobacter				Dichelobacter nodosus				100				321				0												
301				873				872				Desulfovibrio				Desulfovibrio africanus				11				33				8				mesophilic				34C~37¢XC				
302				876				872				Desulfovibrio				Desulfovibrio desulfuricans				45				195				27				mesophilic								34C~37¢XC
303				878				872				Desulfovibrio				Desulfovibrio fructosovorans				7				25				1				mesophilic				37¢XC				
304				879				872				Desulfovibrio				Desulfovibrio gigas				22				126				17				mesophilic				34C~37¢XC				
305				881				872				Desulfovibrio				Desulfovibrio vulgaris				67				265				62												
306				885				872				Desulfovibrio				Desulfovibrio sp.				58				1				0												
307				891				890				Desulfuromonas				Desulfuromonas acetoxidans				9				19				8												
308				899				898				Desulfomicrobium				Desulfomicrobium baculatum				15				20				1				mesophilic								
309				905				904				Acidaminococcus				Acidaminococcus fermentans				9				40				3				mesophilic				30C~37¢XC				
310				907				906				Megasphaera				Megasphaera elsdenii				24				28				1				mesophilic								25C~40¢XC
311				913				911				Nitrobacter				Nitrobacter winogradskyi				18				17				0				mesophilic								5C~37¢XC
312				915				914				Nitrosomonas				Nitrosomonas europaea				45				326				10				mesophilic				25C~30¢XC				
313				917				914				Nitrosomonas				Nitrosomonas marina				9				4				0												
314				920				119977				Acidithiobacillus				Acidithiobacillus ferrooxidans				310				395				9												
315				924				919				Thiobacillus				Thiobacillus sp.				13				8				0												
316				927				109262				Halothiobacillus				Halothiobacillus neapolitanus				9				21				0				mesophilic				28C~32¢XC				8C~39¢XC
317				930				119977				Acidithiobacillus				Acidithiobacillus thiooxidans				22				4				0												
318				935				933				Thiomicrospira				Thiomicrospira sp.				21				0				0												
319				940				939				Hydrogenobacter				Hydrogenobacter thermophilus				11				39				1												
320				944				106178				canis group				Ehrlichia canis				58				86				0												
321				945				106178				canis group				Ehrlichia chaffeensis				125				212				0												
322				947				106178				canis group				Ehrlichia ewingii				15				8				0												
323				948				106179				phagocytophilum group				Anaplasma phagocytophilum				495				429				0												
324				949				768				Anaplasma				Anaplasma platys				24				8				0												
325				950				33993				Neorickettsia				Neorickettsia risticii				119				67				0												
326				955				953				Wolbachia				Wolbachia pipientis				156				113				0												
327				956				953				Wolbachia				Wolbachia sp.				203				149				0												
328				959				958				Bdellovibrio				Bdellovibrio bacteriovorus				43				53				0												
329				964				963				Herbaspirillum				Herbaspirillum seropedicae				21				37				1												
330				971				970				Selenomonas				Selenomonas ruminantium				35				56				0				mesophilic				35C~40¢XC				
331				979				104264				Cellulophaga				Cellulophaga lytica				19				12				0				mesophilic								30¢XC
332				984				84567				Pedobacter				Pedobacter heparinus				15				19				8				mesophilic								30¢XC
333				985				978				Cytophaga				Cytophaga hutchinsonii				194				3586				0												
334				986				237				Flavobacterium				Flavobacterium johnsoniae				24				58				0				mesophilic								30¢XC
335				996				237				Flavobacterium				Flavobacterium columnare				23				0				0												
336				1015				59735				Bergeyella				Bergeyella zoohelcum				4				10				0				mesophilic				37C~39¢XC				
337				1042				1041				Erythrobacter				Erythrobacter sp.				8				24				0												
338				1044				1041				Erythrobacter				Erythrobacter longus				15				14				0				mesophilic				25C~30¢XC				
339				1048				85076				Marichromatium				Marichromatium gracile				0				2				0				mesophilic				30C~35¢XC				
340				1049				85072				Allochromatium				Allochromatium vinosum				36				197				11				mesophilic				30C~35¢XC				
341				1050				85073				Thermochromatium				Thermochromatium tepidum				2				10				3				thermophilic				48C~50¢XC				
342				1052				85108				Halorhodospira				Halorhodospira halochloris				3				14				0				mesophilic								26¢XC
343				1053				85108				Halorhodospira				Halorhodospira halophila				6				54				21												
344				1054				1051				Ectothiorhodospira				Ectothiorhodospira shaposhnikovii				8				27				2				mesophilic				30C~35¢XC				
345				1057				85078				Thiococcus				Thiococcus pfennigii				3				2				0				mesophilic				20C~35¢XC				
346				1058				1056				Thiocapsa				Thiocapsa roseopersicina				23				85				0				mesophilic				20C~35¢XC				
347				1061				1060				Rhodobacter				Rhodobacter capsulatus				180				1297				24				mesophilic				30C~35¢XC				30¢XC
348				1063				1060				Rhodobacter				Rhodobacter sphaeroides				708				5385				60				mesophilic				30C~34¢XC				
349				1066				1064				Rhodocyclus				Rhodocyclus tenuis				5				27				1				mesophilic				30¢XC				
350				1069				1068				Rhodomicrobium				Rhodomicrobium vannielii				6				10				0				mesophilic								26¢XC
351				1074				168658				Rhodoblastus				Rhodoblastus acidophilus				6				65				3				mesophilic				25C~30¢XC				
352				1075				1060				Rhodobacter				Rhodobacter blasticus				12				61				9												
353				1076				1073				Rhodopseudomonas				Rhodopseudomonas palustris				101				236				8				mesophilic				30C~37¢XC				
354				1079				59282				Blastochloris				Blastochloris viridis				28				88				12				mesophilic				25C~30¢XC				
355				1080				34016				Rhodobium				Rhodobium marinum				4				4				0				mesophilic				25C~30¢XC				
356				1083				85265				Phaeospirillum				Phaeospirillum molischianum				3				40				2				mesophilic								24¢XC
